,timestamp,location,track,week,pacing,rating
19,7/1/2016 13:30:53,,Apps,,3,8
20,7/1/2016 13:31:04,,Apps,,4,8
21,7/1/2016 13:39:46,,Apps,,3,8
22,7/1/2016 13:41:30,,Apps,,4,8
23,7/1/2016 13:49:17,,Apps,,3,8
24,7/1/2016 15:59:22,,Apps,,3,8
25,7/1/2016 15:59:54,,Apps,,3,8
26,7/1/2016 16:02:57,,Apps,,3,8
27,7/1/2016 16:30:11,,Apps,,4,8
28,7/1/2016 16:32:24,,Apps,,4,8
29,7/1/2016 17:51:29,,Apps,,4,8
30,7/1/2016 9:46:04,,Games,,4,8
31,7/1/2016 9:47:30,,Games,,2,8
32,7/1/2016 10:41:18,,Games,,3,8
33,7/1/2016 10:41:34,,Games,,2,8
34,7/1/2016 10:45:47,,Games,,3,8
35,7/1/2016 13:12:22,,Intro,,3,8
36,7/1/2016 13:19:07,,Intro,,3,8
37,7/1/2016 13:25:54,,Intro,,3,8
38,7/1/2016 13:28:33,,Intro,,4,8
39,7/1/2016 13:29:01,,Intro,,4,8
40,7/1/2016 13:33:15,,Intro,,3,8
41,7/1/2016 13:33:28,,Intro,,3,8
42,7/1/2016 13:29:47,,Apps,,3,10
43,7/1/2016 13:30:07,,Apps,,3,10
44,7/1/2016 13:32:18,,Apps,,4,10
45,7/1/2016 16:01:17,,Apps,,3,10
46,7/1/2016 16:02:10,,Apps,,4,10
47,7/1/2016 16:04:18,,Apps,,3,10
48,7/1/2016 16:44:38,,Apps,,3,10
49,7/1/2016 9:41:30,,Games,,4,10
50,7/1/2016 10:43:14,,Games,,2,10
51,7/1/2016 10:47:06,,Games,,3,10
52,7/1/2016 10:47:57,,Games,,4,10
53,7/1/2016 13:25:32,,Intro,,2,10
54,7/1/2016 13:26:00,,Intro,,5,10
55,7/1/2016 13:28:10,,Intro,,2,10
0,8/5/2016 13:37:43,,Apps,,3,6
1,8/5/2016 13:37:50,,Apps,,3,10
2,8/5/2016 13:39:25,,Apps,,3,6
3,8/5/2016 13:39:27,,Apps,,3,8
